Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
27881,0.215088,-1.010864,0.084351,0.915527,1.037598,-0.061035
27997,0.211548,-0.966675,0.06665,2.502441,-2.319336,-6.103515
28113,0.231812,-0.972534,0.098511,5.187988,-4.211426,-4.394531
28229,0.202271,-1.037598,0.09021,5.981445,-2.624511,2.258301
28345,0.233154,-1.01416,0.09375,-3.112793,6.713867,-1.586914
28461,0.19751,-0.97229,0.075562,-3.051758,9.765625,-3.845215
28577,0.222778,-1.014771,0.06897,-3.784179,4.760742,-2.685547
28693,0.212646,-1.015259,0.083374,-3.051758,2.746582,-1.953125
28809,0.243408,-1.026611,0.08252,-2.868652,-1.403808,1.403808
28925,0.208008,-1.016846,0.066528,0.671387,-6.04248,3.784179
29041,0.174316,-0.950806,0.063721,2.441406,-1.708984,2.502441
29157,0.180298,-0.989136,0.123535,12.878417,-3.662109,0.244141
29273,0.161133,-1.106323,0.114502,-8.789063,-27.709959,0.549316
29389,0.258057,-0.917236,0.156616,8.789063,-0.305176,-0.12207
29505,0.234009,-0.932007,0.044556,-2.13623,9.643555,0.610352
29621,0.188232,-0.996948,0.058105,-0.793457,5.310058,-0.305176
29737,0.229004,-0.939697,0.099976,2.380371,-7.446289,-2.075195
29853,0.214233,-0.963379,0.074463,-3.051758,3.845215,0.12207
29969,0.213379,-0.968018,0.083862,-0.854492,1.89209,-1.953125
30085,0.223389,-0.957642,0.102295,-2.319336,-4.882812,-1.342773
30201,0.208618,-0.966919,0.101196,-0.549316,5.249023,-0.244141
30317,0.2146,-0.970093,0.106567,-0.915527,0.671387,-1.403808
30433,0.226807,-0.952271,0.109619,-1.037598,-3.967285,-1.89209
30549,0.203247,-0.967651,0.077271,-2.01416,1.708984,-1.647949
30665,0.209839,-0.962769,0.092285,1.098633,-0.12207,-0.183105
30781,0.205933,-0.974365,0.102295,-0.12207,0.305176,-0.549316
30897,0.214844,-0.960937,0.088623,-0.244141,0.366211,-0.427246
31013,0.194946,-0.988281,0.108765,0.610352,2.685547,-0.183105
31129,0.200562,-0.973389,0.103394,-0.854492,0.305176,-1.037598
31245,0.20813,-0.952881,0.080322,-2.075195,-1.098633,-2.01416
31361,0.204834,-0.961792,0.086914,-0.976562,0.183105,-1.281738
31477,0.214478,-0.968872,0.105103,-0.610352,-0.12207,-1.342773
31593,0.191895,-0.960571,0.091309,-1.708984,-0.366211,-0.366211
31709,0.19519,-0.976562,0.091309,-1.403808,-0.854492,-0.549316
31825,0.19519,-0.967407,0.09436,-0.549316,1.647949,-0.732422
31941,0.197388,-0.962646,0.094116,-0.366211,-0.915527,0
32057,0.196045,-0.973145,0.105347,0.732422,3.540039,0.732422
32173,0.202393,-0.970337,0.103882,-0.305176,-2.197266,1.037598
32289,0.205322,-0.958496,0.088745,-1.220703,-0.671387,-0.671387
32405,0.198242,-0.964966,0.084961,-0.549316,-1.037598,0.12207
32521,0.211792,-0.956299,0.093628,-1.098633,-2.563476,-0.305176
32637,0.202759,-0.967285,0.098267,-0.366211,-0.183105,-0.183105
32753,0.208618,-0.964844,0.113159,-1.525879,-1.770019,-0.610352
32869,0.209229,-0.952148,0.099854,-1.220703,-1.403808,-0.305176
32985,0.208252,-0.967407,0.096924,-1.098633,-0.549316,0.976562
33101,0.212769,-0.978271,0.117554,-0.366211,-1.281738,1.220703
33217,0.213013,-0.974487,0.126587,-0.854492,-2.685547,1.159668
33333,0.226929,-0.997803,0.068726,-0.061035,-13.732909,1.89209
33449,0.250488,-1.15564,0.014038,6.469726,-32.775879,0.244141
33565,0.13147,-1.122681,0.382813,12.023925,3.051758,-40.954586
33681,0.317505,-1.105103,0.080688,21.118162,-88.256828,-28.503416
33797,0.262085,-0.983398,0.211792,-9.521484,-162.719711,-7.690429
33913,0.123535,-0.841187,0.299805,-33.813477,-80.810539,-19.104004
34029,-0.074829,-0.874268,0.281494,-46.020504,-78.979492,-19.897461
34145,-0.160278,-0.967285,0.287231,-70.43457,-35.827637,-14.282226
34261,-0.273804,-0.813721,0.443726,-83.312981,-29.724119,-40.771481
34377,-0.396729,-0.499023,0.594238,-88.98925,-12.817382,-39.733887
34493,-0.364014,-0.467773,0.558472,-61.401363,46.44775,-30.029295
34609,-0.282593,-0.373657,0.534668,-37.109375,56.945797,-2.746582
34725,-0.185547,-0.467773,0.59021,3.479004,45.471188,14.709472
34841,0.087524,-0.692139,0.655762,14.22119,23.376463,28.564451
34957,0.086182,-0.756592,0.656616,32.348633,-29.418943,34.790039
35073,0.004761,-0.873169,0.967285,-0.793457,13.732909,-2.990722
35189,-0.18335,-0.560181,0.832886,12.512206,-6.286621,2.868652
35305,-0.005615,-0.683105,0.742065,13.000487,-1.586914,7.751464
